"Date","Name","Open","High","Low","Close"
"2024-01-19","EUR to HUF","378.85000","383.49400","378.17000","381.46000"
"2024-01-12","EUR to HUF","377.69000","380.34200","376.91600","378.90000"
"2024-01-05","EUR to HUF","383.11000","383.29000","377.10000","377.49000"
"2023-12-29","EUR to HUF","380.92000","383.45000","380.31000","382.54000"
"2023-12-22","EUR to HUF","382.30000","385.64700","380.27000","380.63100"
"2023-12-15","EUR to HUF","380.77000","383.62900","377.82000","382.50000"
"2023-12-08","EUR to HUF","378.57000","382.69600","377.94500","380.86000"
"2023-12-01","EUR to HUF","379.99000","381.45200","376.46900","377.94000"
"2023-11-24","EUR to HUF","377.80000","381.94000","377.49000","380.09000"
"2023-11-17","EUR to HUF","376.77000","379.09400","375.13000","378.59000"
"2023-11-10","EUR to HUF","378.86000","380.46000","376.30000","376.83000"
"2023-11-03","EUR to HUF","383.26000","384.02800","378.09000","379.41000"
"2023-10-27","EUR to HUF","381.70000","386.10000","380.46000","383.06000"
"2023-10-20","EUR to HUF","387.45000","388.35000","381.36000","381.57000"
"2023-10-13","EUR to HUF","386.79000","389.07300","385.41800","387.77000"
"2023-10-06","EUR to HUF","388.84000","392.46200","385.44600","386.71000"
"2023-09-29","EUR to HUF","388.13000","394.53200","386.67500","388.87000"
"2023-09-22","EUR to HUF","383.10000","389.73000","382.60000","388.72000"
"2023-09-15","EUR to HUF","385.41000","386.87000","382.45000","383.00000"
"2023-09-08","EUR to HUF","383.37000","391.55600","381.57000","384.91000"
"2023-09-01","EUR to HUF","381.30000","384.75000","378.04000","383.81000"
"2023-08-25","EUR to HUF","381.95000","384.61700","380.97000","381.35000"
"2023-08-18","EUR to HUF","382.48000","389.01000","381.55000","381.99000"
"2023-08-11","EUR to HUF","389.03000","392.19500","381.40000","382.63000"
"2023-08-04","EUR to HUF","383.90000","394.47600","383.52300","389.49000"
"2023-07-28","EUR to HUF","378.97000","385.56000","376.46000","383.96000"
"2023-07-21","EUR to HUF","373.75000","381.77000","372.49000","378.99000"
"2023-07-14","EUR to HUF","384.34000","385.59000","373.10000","373.93000"
"2023-07-07","EUR to HUF","372.11000","388.93400","371.80000","384.19000"
"2023-06-30","EUR to HUF","369.87000","372.97000","367.93000","372.34000"
"2023-06-23","EUR to HUF","373.14000","374.71000","368.76000","369.59000"
"2023-06-16","EUR to HUF","367.36100","376.86800","367.09000","373.28000"
"2023-06-09","EUR to HUF","369.71000","370.31900","367.19000","367.92000"
"2023-06-02","EUR to HUF","370.68000","371.92000","369.04000","369.45000"
"2023-05-26","EUR to HUF","375.43000","377.16000","370.04000","371.01000"
"2023-05-19","EUR to HUF","369.75000","378.59000","367.54000","375.25000"
"2023-05-12","EUR to HUF","371.27000","372.85000","368.69000","370.20000"
"2023-05-05","EUR to HUF","372.45000","376.34800","370.66000","371.51000"
"2023-04-28","EUR to HUF","375.87000","378.45000","371.51000","372.79000"
"2023-04-21","EUR to HUF","372.99000","380.06000","368.94000","375.47000"
"2023-04-14","EUR to HUF","374.43000","377.62000","372.31000","373.30000"
"2023-04-07","EUR to HUF","379.13000","381.29000","373.16000","374.19000"
"2023-03-31","EUR to HUF","384.84000","387.09000","378.29000","379.64000"
"2023-03-24","EUR to HUF","397.33000","402.22000","381.76000","384.20000"
"2023-03-17","EUR to HUF","382.89000","401.71000","380.49000","397.32000"
"2023-03-10","EUR to HUF","378.53000","385.35000","375.54000","382.51000"
"2023-03-03","EUR to HUF","379.59000","381.09000","371.76000","378.80000"
"2023-02-24","EUR to HUF","383.65000","385.34800","379.10000","379.74000"
"2023-02-17","EUR to HUF","386.54000","388.90000","376.51000","383.24000"
"2023-02-10","EUR to HUF","387.81000","395.89000","383.88000","386.62000"
"2023-02-03","EUR to HUF","389.72000","392.43400","384.27000","387.82000"
"2023-01-27","EUR to HUF","393.36000","397.90000","385.77000","390.60000"
"2023-01-20","EUR to HUF","396.22000","400.90000","391.75000","392.41000"
"2023-01-13","EUR to HUF","394.38000","400.37000","393.17200","395.77000"
"2023-01-06","EUR to HUF","399.49000","403.98500","393.33500","393.70000"
"2022-12-30","EUR to HUF","399.77000","403.91000","397.90000","399.10000"
"2022-12-23","EUR to HUF","405.51000","405.81000","399.25000","399.82000"
"2022-12-16","EUR to HUF","418.38000","420.19200","403.12000","405.27300"
"2022-12-09","EUR to HUF","409.03000","419.43800","408.33000","417.76000"
"2022-12-02","EUR to HUF","409.09000","413.31000","404.40000","409.20000"
"2022-11-25","EUR to HUF","406.13000","415.35000","403.81000","408.09000"
"2022-11-18","EUR to HUF","404.06000","415.67000","403.08000","406.03000"
"2022-11-11","EUR to HUF","402.93000","405.64000","397.69000","404.88000"
"2022-11-04","EUR to HUF","411.57000","412.71000","400.67000","401.88000"
"2022-10-28","EUR to HUF","409.29000","414.66000","406.37000","411.62000"
"2022-10-21","EUR to HUF","417.72000","418.97000","406.38000","408.17000"
"2022-10-14","EUR to HUF","424.21000","433.61000","415.23400","417.31000"
"2022-10-07","EUR to HUF","421.79000","425.84000","415.60000","424.47000"
"2022-09-30","EUR to HUF","405.09000","423.64000","403.96000","422.84000"
"2022-09-23","EUR to HUF","404.54000","408.07000","396.50200","405.71000"
"2022-09-16","EUR to HUF","396.19000","409.29000","393.97000","404.29000"
"2022-09-09","EUR to HUF","400.43000","404.77000","393.88000","396.33000"
"2022-09-02","EUR to HUF","410.73000","412.68100","397.47000","401.21000"
"2022-08-26","EUR to HUF","404.02000","414.57200","403.88000","411.33000"
"2022-08-19","EUR to HUF","392.11000","408.44000","391.69000","403.83000"
"2022-08-12","EUR to HUF","393.34000","401.18000","391.11000","392.52000"
"2022-08-05","EUR to HUF","403.50000","404.21000","392.74000","393.15000"
"2022-07-29","EUR to HUF","396.67000","408.34000","394.38000","403.93000"
"2022-07-22","EUR to HUF","400.49000","403.36000","395.24000","396.63000"
"2022-07-15","EUR to HUF","404.26000","414.37000","400.18000","400.54000"
"2022-07-08","EUR to HUF","400.46000","416.67800","399.38000","404.52000"
"2022-07-01","EUR to HUF","400.62000","404.54000","393.06000","399.62000"
"2022-06-24","EUR to HUF","398.76000","401.99000","393.66000","401.11000"
"2022-06-17","EUR to HUF","397.67000","402.73000","394.32000","399.67000"
"2022-06-10","EUR to HUF","391.56000","399.33000","386.77000","397.49000"
"2022-06-03","EUR to HUF","393.67000","398.49000","390.90000","391.62000"
"2022-05-27","EUR to HUF","383.60000","396.42000","380.55000","393.78000"
"2022-05-20","EUR to HUF","385.35000","391.74900","381.34000","384.02000"
"2022-05-13","EUR to HUF","381.44000","386.02000","377.95000","385.45000"
"2022-05-06","EUR to HUF","377.51600","383.71200","374.56000","381.53000"
"2022-04-29","EUR to HUF","371.46000","380.37000","370.65000","377.90000"
"2022-04-22","EUR to HUF","375.69000","376.19000","369.05000","371.54000"
"2022-04-15","EUR to HUF","378.20000","380.14000","374.74000","375.38000"
"2022-04-08","EUR to HUF","366.53000","381.97000","366.38000","377.65000"
"2022-04-01","EUR to HUF","372.48000","375.29000","366.15600","367.27000"
"2022-03-25","EUR to HUF","374.80000","375.55000","369.18600","372.18000"
"2022-03-18","EUR to HUF","381.43000","382.42000","369.17000","374.86000"
"2022-03-11","EUR to HUF","385.44000","398.90000","376.10000","381.91000"
"2022-03-04","EUR to HUF","368.90000","387.34400","367.92000","387.05000"
"2022-02-25","EUR to HUF","356.79000","371.50000","354.70000","364.71000"
"2022-02-18","EUR to HUF","355.76000","358.19000","352.93000","356.46000"
"2022-02-11","EUR to HUF","353.82000","357.29000","352.15000","356.18500"
"2022-02-04","EUR to HUF","358.00000","358.53000","352.49000","354.62000"
"2022-01-28","EUR to HUF","358.24000","361.99000","355.60000","358.29000"
"2022-01-21","EUR to HUF","356.00000","358.94000","354.81000","358.28000"
"2022-01-14","EUR to HUF","358.68000","359.50000","352.19000","356.37000"
"2022-01-07","EUR to HUF","368.94000","369.69000","357.93000","358.14000"
"2021-12-31","EUR to HUF","369.25000","371.45000","367.61000","368.76000"
"2021-12-24","EUR to HUF","366.63000","371.56000","365.88000","369.20000"
"2021-12-17","EUR to HUF","365.06000","370.16000","364.94000","366.79000"
"2021-12-10","EUR to HUF","364.21000","368.69000","362.69000","365.51000"
"2021-12-03","EUR to HUF","369.13500","369.48000","360.47000","363.89000"
"2021-11-26","EUR to HUF","366.77000","371.91000","364.26000","368.79000"
"2021-11-19","EUR to HUF","366.26000","368.29000","361.56000","367.23500"
"2021-11-12","EUR to HUF","358.62100","367.16000","358.17000","366.74000"
